"Date","Close","Volume"
"22.11.2017",1211.13,122921700
"23.11.2017",1211.24,110000900
"24.11.2017",1215.38,102230200
"27.11.2017",1210.08,102595700
"28.11.2017",1215.5,109867100
"29.11.2017",1215.38,145125600
"30.11.2017",1214.16,224301600
"01.12.2017",1199.59,164841800
"04.12.2017",1216.26,129123400
"05.12.2017",1215.68,128589900
"06.12.2017",1211.34,132515100
"07.12.2017",1215.15,118682800
"08.12.2017",1224.36,148318600
"11.12.2017",1221.58,110645000
"12.12.2017",1226.45,117367300
"13.12.2017",1222.28,169702300
"14.12.2017",1217.9,181482100
"15.12.2017",1220.48,251339700
"18.12.2017",1238.72,139182400
"19.12.2017",1231.85,119602200
"20.12.2017",1219.48,123464000
"21.12.2017",1222.8,107112000
"22.12.2017",1219.77,79864380
"27.12.2017",1220.82,71547460
"28.12.2017",1213.98,70296300
"29.12.2017",1209.51,63199290
"02.01.2018",1206.4,122158800
"03.01.2018",1217.42,129105800
"04.01.2018",1234.09,148038100
"05.01.2018",1247.95,155903500
"08.01.2018",1252.76,146753200
"09.01.2018",1255.23,140921000
"10.01.2018",1244.85,165939200
"11.01.2018",1238.55,158465600
"12.01.2018",1242.76,127176500
"15.01.2018",1238.83,98783700
"16.01.2018",1244.14,127943500
"17.01.2018",1239.28,134495300
"18.01.2018",1248.26,131612300
"19.01.2018",1261.24,162393200
"22.01.2018",1263.2,144269100
"23.01.2018",1270,144811900
"24.01.2018",1256.84,147735700
"25.01.2018",1245.74,156245600
"26.01.2018",1250.35,117269700
"29.01.2018",1248.37,121929300
"30.01.2018",1236.38,166025700
"31.01.2018",1236.54,165679300
"01.02.2018",1221.42,191216800
"02.02.2018",1201.12,194095600
"05.02.2018",1189.49,173093600
"06.02.2018",1162.75,289659800
"07.02.2018",1183.78,207696500
"08.02.2018",1152.86,209206800
"09.02.2018",1140.08,234124200
"12.02.2018",1156.01,161089200
"13.02.2018",1148.51,132372800
"14.02.2018",1162.74,176978400
"15.02.2018",1164.97,156745600
"16.02.2018",1176.04,140299900
"19.02.2018",1169.86,97091790
"20.02.2018",1179.13,125453600
"21.02.2018",1177.58,126810600
"22.02.2018",1176.88,145452800
"23.02.2018",1178.69,136762500
"26.02.2018",1182.89,114193600
"27.02.2018",1179.53,136295400
"28.02.2018",1175.06,142699900
"01.03.2018",1152.05,164062000
"02.03.2018",1126.19,173272800
"05.03.2018",1142.45,152416300
"06.03.2018",1146.46,149727300
"07.03.2018",1157.52,138366800
"08.03.2018",1168.51,158361800
"09.03.2018",1169.27,142499700
"12.03.2018",1175.79,195939300
"13.03.2018",1159.03,180290600
"14.03.2018",1158.61,148697900
"15.03.2018",1168.05,153133700
"16.03.2018",1169.08,293489700
"19.03.2018",1155.89,145773400
"20.03.2018",1165,115582600
"21.03.2018",1164.9,147706600
"22.03.2018",1144.55,192514400
"23.03.2018",1127.35,207200200
"26.03.2018",1118.58,146709700
"27.03.2018",1135.07,147211400
"28.03.2018",1130.18,163010300
"29.03.2018",1144.5,173912800
"03.04.2018",1135.44,143445300
"04.04.2018",1129.37,157221200
"05.04.2018",1160.86,157126300
"06.04.2018",1155.46,128235100
"09.04.2018",1157.77,112842100
"10.04.2018",1169.77,140414200
"11.04.2018",1161.5,138276600
"12.04.2018",1171.88,121831300
"13.04.2018",1174.42,115979200
"16.04.2018",1169.57,94347590
"17.04.2018",1186.9,124524600
"18.04.2018",1188.6,125196800
"19.04.2018",1186.26,107552000
"20.04.2018",1183.52,151803400
"23.04.2018",1186.19,122085500
"24.04.2018",1183.71,149426200
"25.04.2018",1169.61,161671500
"26.04.2018",1178.49,167138500
"27.04.2018",1184.75,150930100
"30.04.2018",1187.85,137881000
"02.05.2018",1205.72,161655800
"03.05.2018",1196.83,139652000
"04.05.2018",1206.89,150577400
"07.05.2018",1219.54,98229360
"08.05.2018",1217.23,140468100
"09.05.2018",1219.29,150133500
"10.05.2018",1226.11,101541000
"11.05.2018",1224.16,139061500
"14.05.2018",1222.44,116847800
"15.05.2018",1221.56,152799400
"16.05.2018",1223.97,149264300
"17.05.2018",1234.5,137280800
"18.05.2018",1232.26,166339200
"22.05.2018",1239.74,158475100
"23.05.2018",1222.91,146954600
"24.05.2018",1212.85,185907600
"25.05.2018",1220.56,141680600
"28.05.2018",1215.15,97974650
"29.05.2018",1196.42,199522800
"30.05.2018",1205.71,161629500
"31.05.2018",1192.3,251042800
"01.06.2018",1202.31,162996400
"04.06.2018",1207.12,117241100
"05.06.2018",1209.52,146718800
"06.06.2018",1213.38,142619700
"07.06.2018",1210.85,130470500
"08.06.2018",1206.85,150306100
"11.06.2018",1213.59,152466300
"12.06.2018",1214.99,144246000
"13.06.2018",1220,146049600
"14.06.2018",1238.04,181902500
"15.06.2018",1227.41,348822200
"18.06.2018",1212.7,131565400
"19.06.2018",1197.75,154000900
"20.06.2018",1200.61,131815400
"21.06.2018",1184.37,154707900
"22.06.2018",1189.83,125246600
"25.06.2018",1161.64,141914700
"26.06.2018",1159.43,139835200
"27.06.2018",1167.99,179744600
"28.06.2018",1149.96,158890700
"29.06.2018",1162.24,167418200
"02.07.2018",1155.46,134946100
"03.07.2018",1166.02,135832400
"04.07.2018",1161.96,111711600
"05.07.2018",1175.47,155758300
"06.07.2018",1178.97,158408600
"09.07.2018",1183.84,110442800
"10.07.2018",1190.65,124907400
"11.07.2018",1174.21,121734500
"12.07.2018",1181.56,113006000
"13.07.2018",1185.53,112678542
"16.07.2018",1187.81,126138081
"17.07.2018",1196.75,128692969
"18.07.2018",1206.89,125397056
"19.07.2018",1199.58,112235219
"20.07.2018",1189.8,144193977
"23.07.2018",1189.05,95114349
"24.07.2018",1201.54,128035693
"25.07.2018",1193.19,125346219
"26.07.2018",1211.73,155258354
"27.07.2018",1216.39,132476865
"30.07.2018",1210.58,103186337
"31.07.2018",1210.78,146516806
"01.08.2018",1205.3,133464169
"02.08.2018",1190.1,151692105
"03.08.2018",1197.03,114369291
"06.08.2018",1196.28,98375411
"07.08.2018",1198.68,128516011
